State,Start_Time,End_Time,Total_Cars
0,0,11,5237
1,11,23,15766
0,23,31,3258
1,31,35,5637
2,35,43,15739
1,43,48,6923
0,48,57,4079
1,57,60,4209
2,60,67,14187
1,67,72,5863
0,72,78,2789
2,78,79,2311
3,79,80,3165
4,80,81,3878
3,81,82,3110
2,82,85,6308
1,85,87,3536
2,87,91,8205
1,91,95,4470
0,95,102,2901
2,102,103,2290
3,103,104,3323
4,104,105,3911
3,105,106,3409
2,106,115,19815
1,115,119,4932
0,119,126,2735
2,126,127,2212
3,127,128,3320
4,128,129,3962
3,129,130,3520
2,130,139,20344
1,139,143,4641
0,143,149,1777
1,149,150,902
2,150,151,2318
3,151,152,3325
4,152,153,4048
3,153,154,3468
2,154,161,16167
3,161,163,5615
2,163,164,1839
1,164,167,3293
0,167,174,2641
2,174,175,2039
3,175,178,9826
2,178,180,4140
1,180,183,5249
2,183,187,9163
1,187,192,6432
0,192,198,1823
1,198,204,8498
2,204,206,4069
1,206,208,3264
2,208,212,9015
1,212,216,5923
0,216,224,3571
1,224,227,3564
2,227,235,16950
1,235,239,5878
0,239,245,2093
1,245,246,926
2,246,247,2321
3,247,248,3415
4,248,250,7881
3,250,251,2982
2,251,259,17044
1,259,262,3691
0,262,270,3519
2,270,271,2402
4,271,274,11519
3,274,275,2769
2,275,283,18079
1,283,286,4118
0,286,294,3412
2,294,295,2270
3,295,296,3412
4,296,298,7897
3,298,299,2845
2,299,305,13523
3,305,306,2712
2,306,307,2277
1,307,311,5058
0,311,318,2577
2,318,319,2185
3,319,320,3312
4,320,321,3953
3,321,322,3373
2,322,329,16505
3,329,330,2943
2,330,332,4395
1,332,335,3697
0,335,342,2792
2,342,343,2278
3,343,344,3326
4,344,345,4140
3,345,346,3465
2,346,353,15800
3,353,354,2780
2,354,356,4886
1,356,360,5218
0,360,366,2028
1,366,371,7150
2,371,380,20157
1,380,384,5585
0,384,393,4136
1,393,396,4310
2,396,398,3766
1,398,399,1789
2,399,401,3821
1,401,408,9175
0,408,414,2008
1,414,415,1620
2,415,426,24788
3,426,427,2701
2,427,428,1848
1,428,432,5132
0,432,438,2019
2,438,439,2321
3,439,440,3471
4,440,442,8229
3,442,443,2961
2,443,451,17981
1,451,455,4538
0,455,462,2590
2,462,463,2214
3,463,464,3394
4,464,466,7790
2,466,467,2456
3,467,468,2727
2,468,473,11082
3,473,474,3099
2,474,476,4655
1,476,479,3410
0,479,485,1673
1,485,486,922
2,486,487,2355
4,487,490,11649
3,490,491,2860
2,491,497,13376
3,497,499,5902
2,499,500,2383
1,500,503,3723
0,503,510,2897
2,510,511,2166
3,511,512,3252
4,512,513,4002
3,513,514,3499
2,514,518,8644
1,518,519,1312
2,519,520,2378
3,520,521,2851
2,521,524,7193
1,524,528,4904
0,528,534,1924
1,534,536,2354
2,536,549,27741
1,549,552,3862
0,552,560,3238
1,560,563,3994
2,563,569,12059
1,569,574,7463
0,574,582,4379
2,582,583,2254
3,583,584,3021
4,584,585,3864
3,585,587,6142
2,587,589,4165
1,589,591,3251
2,591,595,8121
1,595,599,4950
0,599,605,2177
1,605,606,918
2,606,607,2349
3,607,608,3586
4,608,610,7814
3,610,611,2961
2,611,619,18308
1,619,622,3868
0,622,630,3295
2,630,631,2335
3,631,632,3550
4,632,633,4229
3,633,635,6729
2,635,641,14181
3,641,642,2781
2,642,643,2449
1,643,647,5004
0,647,654,2478
2,654,655,2314
3,655,656,3557
4,656,657,3683
3,657,659,6201
2,659,665,12821
3,665,666,2928
2,666,668,4296
1,668,671,3591
0,671,678,2963
2,678,679,2259
3,679,680,3544
4,680,681,4040
3,681,682,3545
2,682,689,16506
3,689,690,2942
2,690,692,4978
1,692,696,5359
0,696,702,1826
1,702,703,1052
2,703,704,1812
1,704,705,1726
2,705,706,1902
1,706,707,1743
2,707,713,11720
1,713,714,1644
2,714,717,6729
1,717,720,3807
0,720,728,3289
1,728,731,4072
2,731,740,19718
1,740,744,4950
0,744,750,1914
2,750,751,2405
3,751,752,3436
4,752,754,8061
3,754,755,2734
2,755,761,12840
3,761,762,2720
2,762,763,2241
1,763,766,4084
0,766,774,3318
2,774,775,2263
4,775,778,11562
2,778,787,20324
1,787,790,3966
0,790,798,3396
2,798,799,2155
3,799,800,3207
4,800,802,7902
3,802,803,2762
2,803,811,17959
1,811,815,4846
0,815,822,2528
2,822,823,2292
3,823,824,3395
4,824,826,7984
3,826,827,2766
2,827,833,13820
3,833,835,5530
2,835,836,1935
1,836,839,3617
0,839,845,1904
1,845,846,942
2,846,847,2277
3,847,848,3366
4,848,849,4119
3,849,850,3201
2,850,860,22257
1,860,863,3512
0,863,871,3051
1,871,881,13232
2,881,883,3962
1,883,888,6225
0,888,897,3747
1,897,903,9302
2,903,906,5774
1,906,911,6712
0,911,917,1987
1,917,918,908
2,918,919,2249
3,919,920,3379
4,920,922,7874
3,922,924,5761
2,924,927,7415
3,927,928,2749
2,928,931,6940
1,931,934,3899
0,934,942,3457
2,942,943,2320
3,943,944,3416
4,944,946,8046
3,946,947,3020
2,947,955,18928
1,955,958,3877
0,958,966,2983
1,966,970,5179
0,970,990,7441
1,990,991,1431
2,991,992,2401
3,992,993,2963
2,993,996,6327
1,996,998,3479
2,998,1003,10501
1,1003,1007,5286
0,1007,1014,3102
2,1014,1015,2246
3,1015,1016,3224
4,1016,1017,3812
3,1017,1018,3593
2,1018,1025,17034
3,1025,1027,5703
2,1027,1030,6163
1,1030,1032,2841
0,1032,1038,2229
1,1038,1042,6016
2,1042,1053,24492
1,1053,1056,4291
0,1056,1064,3471
1,1064,1067,3826
2,1067,1075,17896
1,1075,1079,5611
0,1079,1086,2619
1,1086,1088,2818
2,1088,1100,24747
1,1100,1103,3995
0,1103,1110,2858
2,1110,1111,1882
3,1111,1112,2987
4,1112,1113,3828
3,1113,1114,3443
2,1114,1117,6861
1,1117,1119,3531
2,1119,1123,8290
1,1123,1126,3614
0,1126,1134,3722
2,1134,1135,2171
3,1135,1136,2761
4,1136,1137,3740
3,1137,1139,6538
2,1139,1140,2475
3,1140,1142,5493
2,1142,1147,12250
1,1147,1151,5168
0,1151,1158,2688
2,1158,1159,2243
4,1159,1161,7730
3,1161,1163,6264
2,1163,1169,14496
3,1169,1170,2811
2,1170,1172,4846
1,1172,1175,3734
0,1175,1182,2896
2,1182,1183,2198
3,1183,1184,3490
4,1184,1185,3934
3,1185,1187,6183
2,1187,1191,9478
3,1191,1194,8194
2,1194,1197,7292
1,1197,1200,3638
0,1200,1206,1993
1,1206,1208,2610
2,1208,1209,1803
1,1209,1210,1765
2,1210,1220,21673
1,1220,1225,6885
0,1225,1232,2841
1,1232,1235,3939
2,1235,1244,18900
1,1244,1247,4450
0,1247,1254,2784
2,1254,1255,2397
3,1255,1256,3352
4,1256,1258,8041
3,1258,1259,3028
2,1259,1265,13084
3,1265,1266,2713
2,1266,1267,2050
1,1267,1270,3852
0,1270,1277,2942
1,1277,1278,1135
2,1278,1279,2517
3,1279,1280,3253
4,1280,1282,7738
3,1282,1284,5756
2,1284,1289,10849
3,1289,1291,5517
2,1291,1292,1905
1,1292,1295,3382
0,1295,1302,2822
2,1302,1303,2039
3,1303,1304,3173
4,1304,1306,7641
3,1306,1308,5728
2,1308,1311,6675
3,1311,1315,12267
2,1315,1316,2253
1,1316,1319,3903
0,1319,1326,2987
2,1326,1327,2007
3,1327,1330,9977
2,1330,1332,4747
1,1332,1336,6804
2,1336,1338,3798
1,1338,1340,2867
0,1340,1350,4032
1,1350,1364,17238
0,1364,1375,5763
1,1375,1381,8363
2,1381,1382,2384
1,1382,1384,3510
2,1384,1388,8612
1,1388,1392,5675
0,1392,1400,3505
1,1400,1404,5552
2,1404,1411,13652
1,1411,1415,5840
0,1415,1422,3010
2,1422,1423,2412
3,1423,1424,3510
4,1424,1426,8092
2,1426,1432,14964
3,1432,1433,2766
2,1433,1436,7050
1,1436,1439,3571
0,1439,1446,2828
2,1446,1447,2276
3,1447,1448,3477
4,1448,1450,7717
3,1450,1452,5864
2,1452,1454,4331
1,1454,1455,1503
2,1455,1456,1842
3,1456,1459,8598
2,1459,1460,2247
1,1460,1463,3585
0,1463,1470,2677
2,1470,1471,2088
3,1471,1472,3247
4,1472,1474,7750
3,1474,1476,5802
2,1476,1481,10754
3,1481,1482,2762
2,1482,1484,4146
1,1484,1487,3597
0,1487,1494,2797
2,1494,1495,2420
4,1495,1498,11715
3,1498,1499,2908
2,1499,1502,7870
3,1502,1504,5752
2,1504,1505,2674
3,1505,1507,6184
2,1507,1508,2577
1,1508,1512,5056
0,1512,1517,1234
1,1517,1518,904
2,1518,1519,2416
3,1519,1520,3445
4,1520,1521,4016
3,1521,1522,3597
2,1522,1528,13985
3,1528,1531,8459
2,1531,1532,2314
1,1532,1536,5732
0,1536,1542,2166
1,1542,1544,3069
2,1544,1554,22224
3,1554,1556,5488
2,1556,1557,2374
1,1557,1561,5387
0,1561,1567,2118
1,1567,1570,3736
2,1570,1581,26109
1,1581,1584,3776
0,1584,1589,1350
1,1589,1590,952
2,1590,1591,2187
4,1591,1594,11829
3,1594,1595,2823
2,1595,1604,20735
1,1604,1607,3526
0,1607,1613,2047
1,1613,1614,921
2,1614,1615,2416
3,1615,1616,3509
4,1616,1618,8106
3,1618,1620,5833
2,1620,1624,9281
3,1624,1626,5491
2,1626,1628,4349
1,1628,1631,3551
0,1631,1637,1816
1,1637,1638,936
2,1638,1639,2459
3,1639,1640,3544
4,1640,1642,7970
3,1642,1644,5837
2,1644,1649,12468
3,1649,1651,5724
2,1651,1652,1813
1,1652,1655,3639
0,1655,1661,1934
1,1661,1662,944
2,1662,1663,2677
4,1663,1666,12119
3,1666,1667,3042
2,1667,1672,11533
3,1672,1674,6003
2,1674,1676,4607
1,1676,1680,5048
0,1680,1685,1377
1,1685,1686,902
2,1686,1687,2387
3,1687,1689,6663
4,1689,1690,3737
3,1690,1691,2968
2,1691,1696,11967
3,1696,1699,9076
2,1699,1700,2174
1,1700,1704,5771
0,1704,1710,2318
1,1710,1713,4396
2,1713,1718,9825
1,1718,1719,1727
2,1719,1724,10054
1,1724,1729,6282
0,1729,1736,3010
1,1736,1739,3937
2,1739,1747,18406
1,1747,1753,8594
0,1753,1758,2551
2,1758,1759,2282
3,1759,1760,3347
4,1760,1762,7925
3,1762,1763,2949
2,1763,1769,14293
3,1769,1770,2770
2,1770,1772,4314
1,1772,1776,4949
0,1776,1782,2364
2,1782,1783,2319
3,1783,1784,3451
4,1784,1786,7899
3,1786,1789,8763
2,1789,1792,7186
3,1792,1794,5740
2,1794,1796,4647
1,1796,1799,3844
0,1799,1806,2915
2,1806,1807,2275
3,1807,1808,3541
4,1808,1810,7730
3,1810,1811,2868
2,1811,1817,14538
3,1817,1818,2770
2,1818,1820,4922
1,1820,1823,3958
0,1823,1829,2230
1,1829,1830,923
2,1830,1831,2470
3,1831,1832,3572
4,1832,1834,8263
3,1834,1836,5901
2,1836,1840,10319
3,1840,1843,9075
2,1843,1844,2473
1,1844,1848,5529
0,1848,1854,2442
2,1854,1855,2299
3,1855,1856,3400
4,1856,1858,7964
2,1858,1863,12381
3,1863,1868,14978
1,1868,1872,6282
0,1872,1878,2423
1,1878,1880,2836
2,1880,1890,22896
3,1890,1891,2951
2,1891,1894,6877
1,1894,1897,4529
0,1897,1903,2392
1,1903,1906,3895
2,1906,1910,9096
3,1910,1911,2738
2,1911,1912,2637
3,1912,1914,5506
2,1914,1916,4786
1,1916,1917,1785
2,1917,1918,1999
1,1918,1920,2547
0,1920,1925,1696
1,1925,1926,904
