Date,Total,Day
2010010100,416,Friday
2010010101,532,Friday
2010010102,529,Friday
2010010103,381,Friday
2010010104,315,Friday
2010010105,282,Friday
2010010106,386,Friday
2010010107,487,Friday
2010010108,472,Friday
2010010109,624,Friday
2010010110,813,Friday
2010010111,1060,Friday
2010010112,1252,Friday
2010010113,1499,Friday
2010010114,1553,Friday
2010010115,1606,Friday
2010010116,1573,Friday
2010010117,1538,Friday
2010010118,1064,Friday
2010010119,1407,Friday
2010010120,1064,Friday
2010010121,1096,Friday
2010010122,1054,Friday
2010010123,827,Friday
2010010200,514,Saturday
2010010201,293,Saturday
2010010202,178,Saturday
2010010203,127,Saturday
2010010204,179,Saturday
2010010205,319,Saturday
2010010206,821,Saturday
2010010207,1066,Saturday
2010010208,1488,Saturday
2010010209,1531,Saturday
2010010210,1552,Saturday
2010010211,1952,Saturday
2010010212,2144,Saturday
2010010213,1927,Saturday
2010010214,1812,Saturday
2010010215,1873,Saturday
2010010216,1902,Saturday
2010010217,2063,Saturday
2010010218,2066,Saturday
2010010219,1766,Saturday
2010010220,1393,Saturday
2010010221,1362,Saturday
2010010222,1268,Saturday
2010010223,1134,Saturday
2010010300,712,Sunday
2010010301,392,Sunday
2010010302,243,Sunday
2010010303,180,Sunday
2010010304,207,Sunday
2010010305,268,Sunday
2010010306,547,Sunday
2010010307,728,Sunday
2010010308,802,Sunday
2010010309,1054,Sunday
2010010310,1443,Sunday
2010010311,1712,Sunday
2010010312,1853,Sunday
2010010313,1880,Sunday
2010010314,2045,Sunday
2010010315,2095,Sunday
2010010316,2244,Sunday
2010010317,2174,Sunday
2010010318,1896,Sunday
2010010319,1510,Sunday
2010010320,1181,Sunday
2010010321,1160,Sunday
2010010322,1015,Sunday
2010010323,997,Sunday
2010010400,683,Monday
2010010401,537,Monday
2010010402,220,Monday
2010010403,183,Monday
2010010404,282,Monday
2010010405,884,Monday
2010010406,2311,Monday
2010010407,3165,Monday
2010010408,3878,Monday
2010010409,3110,Monday
2010010410,2364,Monday
2010010411,1963,Monday
2010010412,1981,Monday
2010010413,1748,Monday
2010010414,1788,Monday
2010010415,1965,Monday
2010010416,2235,Monday
2010010417,2196,Monday
2010010418,1809,Monday
2010010419,1281,Monday
2010010420,1200,Monday
2010010421,1074,Monday
2010010422,915,Monday
2010010423,714,Monday
2010010500,529,Tuesday
2010010501,218,Tuesday
2010010502,142,Tuesday
2010010503,150,Tuesday
2010010504,284,Tuesday
2010010505,864,Tuesday
2010010506,2290,Tuesday
2010010507,3323,Tuesday
2010010508,3911,Tuesday
2010010509,3409,Tuesday
2010010510,2606,Tuesday
2010010511,2622,Tuesday
2010010512,1914,Tuesday
2010010513,1828,Tuesday
2010010514,1949,Tuesday
2010010515,2043,Tuesday
2010010516,2092,Tuesday
2010010517,2484,Tuesday
2010010518,2277,Tuesday
2010010519,1712,Tuesday
2010010520,1150,Tuesday
2010010521,1069,Tuesday
2010010522,1001,Tuesday
2010010523,779,Tuesday
2010010600,419,Wednesday
2010010601,196,Wednesday
2010010602,121,Wednesday
2010010603,137,Wednesday
2010010604,241,Wednesday
2010010605,842,Wednesday
2010010606,2212,Wednesday
2010010607,3320,Wednesday
2010010608,3962,Wednesday
2010010609,3520,Wednesday
2010010610,2500,Wednesday
2010010611,2385,Wednesday
2010010612,2040,Wednesday
2010010613,1923,Wednesday
2010010614,2014,Wednesday
2010010615,2260,Wednesday
2010010616,2239,Wednesday
2010010617,2637,Wednesday
2010010618,2346,Wednesday
2010010619,1483,Wednesday
2010010620,1206,Wednesday
2010010621,1035,Wednesday
2010010622,917,Wednesday
2010010623,688,Wednesday
2010010700,463,Thursday
2010010701,165,Thursday
2010010702,107,Thursday
2010010703,111,Thursday
2010010704,243,Thursday
2010010705,902,Thursday
2010010706,2318,Thursday
2010010707,3325,Thursday
2010010708,4048,Thursday
2010010709,3468,Thursday
2010010710,2528,Thursday
2010010711,2326,Thursday
2010010712,1977,Thursday
2010010713,1965,Thursday
2010010714,2340,Thursday
2010010715,2507,Thursday
2010010716,2524,Thursday
2010010717,2822,Thursday
2010010718,2793,Thursday
2010010719,1839,Thursday
2010010720,1292,Thursday
2010010721,1085,Thursday
2010010722,916,Thursday
2010010723,674,Thursday
2010010800,393,Friday
2010010801,219,Friday
2010010802,142,Friday
2010010803,176,Friday
2010010804,220,Friday
2010010805,817,Friday
2010010806,2039,Friday
2010010807,2983,Friday
2010010808,3556,Friday
2010010809,3287,Friday
2010010810,2161,Friday
2010010811,1979,Friday
2010010812,1751,Friday
2010010813,1729,Friday
2010010814,1769,Friday
2010010815,2171,Friday
2010010816,2387,Friday
2010010817,2393,Friday
2010010818,2212,Friday
2010010819,1722,Friday
2010010820,1376,Friday
2010010821,1164,Friday
2010010822,1222,Friday
2010010823,948,Friday
2010010900,580,Saturday
2010010901,348,Saturday
2010010902,184,Saturday
2010010903,172,Saturday
2010010904,169,Saturday
2010010905,370,Saturday
2010010906,960,Saturday
2010010907,1282,Saturday
2010010908,1492,Saturday
2010010909,1558,Saturday
2010010910,1588,Saturday
2010010911,1618,Saturday
2010010912,2064,Saturday
2010010913,2005,Saturday
2010010914,1693,Saturday
2010010915,1571,Saturday
2010010916,2259,Saturday
2010010917,2442,Saturday
2010010918,2048,Saturday
2010010919,2266,Saturday
2010010920,1764,Saturday
2010010921,1522,Saturday
2010010922,1377,Saturday
2010010923,1260,Saturday
2010011000,841,Sunday
2010011001,425,Sunday
2010011002,230,Sunday
2010011003,158,Sunday
2010011004,191,Sunday
2010011005,245,Sunday
2010011006,597,Sunday
2010011007,884,Sunday
2010011008,908,Sunday
2010011009,1176,Sunday
2010011010,1480,Sunday
2010011011,1997,Sunday
2010011012,2125,Sunday
2010011013,2145,Sunday
2010011014,2070,Sunday
2010011015,2151,Sunday
2010011016,2129,Sunday
2010011017,2200,Sunday
2010011018,2133,Sunday
2010011019,1696,Sunday
2010011020,1535,Sunday
2010011021,1444,Sunday
2010011022,1203,Sunday
2010011023,818,Sunday
2010011100,524,Monday
2010011101,247,Monday
2010011102,108,Monday
2010011103,131,Monday
2010011104,265,Monday
2010011105,926,Monday
2010011106,2321,Monday
2010011107,3415,Monday
2010011108,4088,Monday
2010011109,3793,Monday
2010011110,2982,Monday
2010011111,2496,Monday
2010011112,2204,Monday
2010011113,1878,Monday
2010011114,1826,Monday
2010011115,2028,Monday
2010011116,2312,Monday
2010011117,2319,Monday
2010011118,1981,Monday
2010011119,1504,Monday
2010011120,1155,Monday
2010011121,1032,Monday
2010011122,887,Monday
2010011123,653,Monday
2010011200,384,Tuesday
2010011201,226,Tuesday
2010011202,88,Tuesday
2010011203,135,Tuesday
2010011204,256,Tuesday
2010011205,890,Tuesday
2010011206,2402,Tuesday
2010011207,3631,Tuesday
2010011208,4190,Tuesday
2010011209,3698,Tuesday
2010011210,2769,Tuesday
2010011211,2363,Tuesday
2010011212,2216,Tuesday
